Elapsed Time (s),CPU Usage (%),Memory (MB)
0.10,0.00,43.89
0.20,269.40,52.62
0.30,99.70,55.64
0.40,109.70,57.44
0.50,109.70,59.95
0.60,109.70,59.95
0.70,109.70,61.95
0.80,109.70,63.95
0.90,109.80,63.95
1.00,109.70,72.03
1.10,109.70,72.03
1.20,99.80,72.03
1.30,109.70,72.03
1.40,109.70,72.03
1.50,109.70,72.03
1.60,109.80,72.03
1.70,109.80,72.03
1.80,109.70,87.16
1.90,109.70,87.16
2.00,109.70,87.16
2.11,119.70,87.16
2.21,109.70,87.16
2.31,109.70,87.16
2.41,99.80,87.16
2.51,109.70,87.16
2.61,109.80,96.09
2.71,109.70,101.11
2.81,109.70,101.11
2.91,109.80,103.11
3.01,109.70,105.11
3.11,109.70,105.11
3.21,109.80,109.11
3.31,99.80,109.11
3.41,109.80,110.12
3.51,109.80,110.38
3.61,109.80,110.38
3.71,109.80,110.38
3.81,109.80,110.38
3.91,109.70,110.38
4.01,109.80,110.38
4.11,99.80,110.38
4.21,109.80,110.38
4.31,109.80,110.38
4.41,109.80,110.38
4.51,109.70,134.77
4.61,109.60,141.53
4.71,109.70,142.82
4.81,109.70,157.63
4.91,109.60,165.43
5.01,109.60,180.56
5.11,109.60,195.89
5.21,109.60,134.78
5.31,99.60,142.30
5.41,119.60,192.87
5.51,99.80,142.27
5.61,109.70,134.78
5.71,119.70,142.30
5.81,109.60,152.87
5.92,109.70,165.43
6.02,109.70,175.02
6.12,109.60,194.87
6.22,109.70,130.78
6.32,109.70,142.30
6.42,109.70,150.10
6.52,109.70,157.63
6.62,109.70,165.43
6.72,99.70,179.02
6.82,109.70,188.10
6.92,119.60,195.89
7.02,99.70,134.78
7.12,109.70,142.30
7.22,109.70,142.82
7.32,99.70,156.87
7.42,119.60,165.17
7.52,109.70,180.56
7.62,109.70,195.89
7.72,99.80,129.75
7.82,109.70,139.03
7.92,119.70,142.30
8.02,109.70,154.87
8.12,99.70,164.92
8.22,109.70,175.02
8.32,109.50,195.89
8.42,109.70,129.49
8.52,109.80,142.05
8.62,109.70,149.32
8.72,99.70,157.63
8.82,109.70,168.97
8.92,119.70,188.10
9.02,99.60,189.76
9.12,109.70,134.78
9.22,109.70,126.46
9.33,119.60,126.46
9.43,109.80,126.46
9.53,99.80,126.46
9.63,109.70,126.46
9.73,109.70,126.46
9.83,109.70,126.46
9.93,109.70,126.46
10.03,109.80,126.46
10.13,99.80,126.46
10.23,109.70,126.46
10.33,109.70,126.46
10.43,109.70,126.46
10.53,109.80,126.46
10.63,119.70,126.46
10.73,109.70,126.46
10.83,99.80,126.46
10.93,109.80,126.46
11.03,109.70,126.46
11.13,99.70,150.10
11.23,109.70,157.64
11.33,119.60,172.98
11.43,109.70,190.88
11.53,99.70,126.47
11.63,109.70,141.28
11.73,109.70,149.07
11.83,109.70,157.64
11.93,109.70,165.43
12.03,99.70,180.57
12.13,109.60,195.89
12.23,119.70,126.47
12.33,99.70,152.88
12.43,109.70,158.41
12.53,109.70,168.98
12.63,119.60,188.10
12.73,99.70,126.47
12.83,109.60,134.78
12.93,109.70,142.31
13.04,119.60,149.59
13.14,109.70,150.10
13.24,109.60,157.64
13.34,109.70,157.89
13.44,109.70,165.43
13.54,99.70,172.98
13.64,109.50,179.54
13.74,109.70,195.89
13.84,109.60,130.78
16.82,109.70,195.89
16.92,109.70,192.88
17.02,109.70,126.47
17.12,109.70,142.31
17.22,109.70,142.31
17.32,109.70,150.88
17.42,109.70,160.93
17.52,109.70,174.00
17.62,99.70,194.88
17.72,109.70,127.24
17.82,109.70,142.31
17.92,109.70,150.10
18.02,109.70,157.64
18.12,109.70,173.48
18.22,99.70,195.38
18.32,119.70,126.47
18.42,109.70,142.31
18.52,109.70,150.10
18.62,99.70,157.64
18.72,109.70,126.47
18.82,109.80,126.47
18.92,109.80,126.47
19.02,109.70,126.47
19.12,109.70,126.47
19.23,109.70,126.47
19.33,99.80,126.47
19.43,109.80,126.47
19.53,119.60,126.47
19.63,99.70,126.47
19.73,109.80,126.47
19.83,109.80,126.47
19.93,109.70,126.47
20.03,109.70,126.47
20.13,109.80,126.47
20.23,109.80,126.47
20.33,109.80,126.47
20.43,99.70,126.47
20.53,119.70,126.47
20.63,109.70,195.89
20.73,99.70,126.98
20.83,109.70,141.54
20.93,119.70,142.31
21.03,109.60,157.64
21.13,99.60,165.43
21.23,109.60,188.10
21.33,109.70,126.47
21.43,109.60,134.78
21.53,109.60,142.31
21.63,99.70,142.31
21.73,119.60,134.78
21.83,109.60,126.47
21.93,99.70,130.52
22.03,109.70,141.54
22.13,109.50,150.10
22.23,119.50,157.64
22.33,99.70,164.93
22.43,109.70,173.74
22.53,109.70,192.88
22.63,109.70,126.47
22.74,109.70,142.31
22.84,119.60,150.10
22.94,109.60,157.64
23.04,99.60,165.43
23.14,119.60,168.98
23.24,99.70,188.10
23.34,109.70,195.89
23.44,109.60,126.47
23.54,109.40,134.78
23.64,109.60,142.31
23.74,99.70,188.10
23.84,109.60,179.79
23.94,99.60,166.98
24.04,99.60,165.43
24.14,99.50,165.43
24.24,109.70,166.98
24.34,99.70,184.82
24.44,109.60,195.89
24.54,109.70,129.49
24.64,109.70,141.03
24.74,109.70,146.82
24.84,109.60,157.64
24.94,99.60,164.93
25.04,109.60,165.43
25.14,119.50,180.57
