Elapsed Time (s),CPU Usage (%),Memory (MB)
0.50,0.00,54.51
1.00,109.90,64.13
1.50,107.90,79.29
2.01,109.90,79.80
2.51,107.90,68.72
3.01,107.90,86.00
3.51,109.90,82.39
4.01,108.00,68.73
7.07,107.90,72.59
7.57,109.90,68.73
8.07,107.90,68.73
8.57,111.90,82.13
9.07,107.90,72.59
9.57,107.90,68.73
10.07,109.90,68.73
10.57,109.90,73.88
11.07,107.90,68.73
11.57,110.00,69.24
12.07,107.90,80.58
12.57,108.00,68.73
13.07,111.90,74.39
13.57,107.90,83.93
14.07,108.00,68.73
14.57,109.90,74.65
15.07,107.90,76.46
15.57,111.90,68.73
16.07,109.90,80.58
16.57,108.00,80.58
17.07,107.90,68.73
17.57,109.90,76.46
18.07,109.90,82.13
18.57,108.00,68.73
19.07,108.00,85.74
19.57,109.90,71.82
20.07,109.90,68.73
20.57,107.90,84.71
21.07,109.90,68.73
21.57,108.00,68.73
22.08,109.90,70.51
22.58,107.90,72.59
23.08,109.90,68.73
